OSEBuildingID,PrimaryPropertyType,Neighborhood,PropertyGFATotal(m2),LargestPropertyUseType,LargestPropertyUseTypeGFA(m2),SecondLargestPropertyUseTypeGFA(m2),ENERGYSTARScore,SiteEnergyUseWN(GJ),TotalGHGEmissions(MetricTonsCO2e)
1,Hotel,DOWNTOWN,8215.787439360001,Hotel,8215.787439360001,,62.5,7677908.480969999,249.70499999999998
2,Hotel,DOWNTOWN,9621.596240640001,Hotel,7792.7069952,1399.4913945600001,56.0,9194988.75051,279.685
3,Hotel,DOWNTOWN,88825.5255744,Hotel,70280.49943872,,30.5,78835868.36151999,2075.38
5,Hotel,DOWNTOWN,5696.8144128,Hotel,5696.8144128,,28.5,18627213.281085,1111.385
8,Hotel,DOWNTOWN,16311.9157632,Hotel,11468.415772800001,6318.24284736,71.0,15685970.557379998,506.355
9,Other,DOWNTOWN,9038.35095552,Police Station,8252.5770432,,,13518995.4841,303.21500000000003
10,Hotel,DOWNTOWN,7711.69554432,Hotel,7557.848110080001,,26.0,6615363.621564999,192.3
11,Other,DOWNTOWN,9546.809293440001,Other - Entertainment/Public Assembly,9546.809293440001,,,7621736.295275,210.75
12,Hotel,DOWNTOWN,15234.61211136,Hotel,15234.61211136,,44.5,14656407.66487,361.885
15,Hotel,DOWNTOWN,14229.30831552,Hotel,12438.230607360001,,39.0,17019626.00827,633.9449999999999
16,Hotel,DOWNTOWN,30953.06325504,Hotel,31274.8793856,,34.0,29035744.96808,732.185
17,Hotel,DOWNTOWN,6039.533727360001,Hotel,6039.533727360001,,43.5,6673746.421724999,331.55
18,Hotel,DOWNTOWN,29352.901294080002,Hotel,27453.870253440004,5351.215104000001,57.0,23916436.644139998,661.98
19,Hotel,DOWNTOWN,8564.7312576,Hotel,6260.735865600001,2341.1566080000002,24.5,11873873.66049,498.82
21,Other,DOWNTOWN,38276.052480000006,Library,33901.527035520005,4552.24896,,18622618.23102,174.11
22,Other,DOWNTOWN,9653.647789440001,Fitness Center/Health Club/Gym,8361.2736,3716.1216000000004,,11097152.7318,422.475
23,Hotel,DOWNTOWN,38673.770394240004,Hotel,32360.82302016,7896.758400000001,30.5,36016549.45808,779.005
24,Mixed Use Property,DOWNTOWN,5337.46545408,Social/Meeting Hall,1527.51178368,1440.4616352,,8403365.09932,269.26
25,Hotel,DOWNTOWN,9694.61803008,Hotel,9694.61803008,,61.0,9480348.19106,380.27
26,Other,DOWNTOWN,50201.0866944,Courthouse,49902.867936,,71.5,54020150.27132,1430.685
27,Other,DOWNTOWN,35793.12583296,Other,35793.12583296,,,53794743.03268,1747.435
28,K-12 School,SOUTHEAST,5223.7521331200005,K-12 School,5473.4755046400005,,95.5,1809251.968745,36.85
29,Hotel,NORTHEAST,8230.46611968,Hotel,5388.93373824,2841.5323814400003,84.5,3967911.7185175,96.045
30,University,DOWNTOWN,11760.874542720001,College/University,11612.880000000001,,,12420292.39967,348.32000000000005
31,Other,DOWNTOWN,6245.31396096,Automobile Dealership,6245.31396096,,,1423779.00579625,9.405000000000001
32,Hotel,EAST,14741.482775040002,Hotel,10467.94293504,3901.9276800000002,,5721960.17853,253.0
33,Hotel,DOWNTOWN,15966.87387264,Hotel,11976.03798336,,38.5,11790223.228389999,324.18
34,K-12 School,Central,11738.39200704,K-12 School,11738.39200704,,,4289807.49122,122.255
35,Hotel,DOWNTOWN,6355.4969664,Hotel,4458.78850176,,58.5,4694848.1904,127.005
36,K-12 School,NORTH,14924.4088608,K-12 School,15257.37335616,,77.5,8526386.941675,265.275
37,K-12 School,MAGNOLIA / QUEEN ANNE,4792.12460928,K-12 School,5125.08910464,,,887580.30313,10.35
38,Small- and Mid-Sized Office,LAKE UNION,8106.90507648,Office,3803.72916672,1686.46888512,,4839518.54513,153.57999999999998
40,Hotel,NORTHEAST,7606.0647878400005,Hotel,7606.0647878400005,,24.5,7601050.261384999,229.185
41,Self-Storage Facility,NORTHEAST,10252.40788224,Self-Storage Facility,2436.382224,,,340857.75615231396,3.8200000000000003
43,Mixed Use Property,GREATER DUWAMISH,45971.6757984,Office,70330.10966208001,59451.535290240005,8.0,497580914.91135997,16870.98
46,Warehouse,GREATER DUWAMISH,66341.5963488,Non-Refrigerated Warehouse,57228.27264,25641.23904,,47701125.83596,322.69
50,K-12 School,MAGNOLIA / QUEEN ANNE,5108.36655744,K-12 School,5108.36655744,,94.0,1922938.31051375,30.125
51,K-12 School,NORTHEAST,16310.5222176,K-12 School,16988.34279744,,88.0,8254634.082415,262.36
52,Small- and Mid-Sized Office,BALLARD,8816.498496,Office,5164.10838144,3652.3901145600003,57.0,6932743.6055850005,126.82
53,Small- and Mid-Sized Office,GREATER DUWAMISH,4882.42636416,Office,4740.749228160001,729.1959609600001,88.0,2818458.006085,70.41499999999999
54,K-12 School,NORTHWEST,16259.425545600001,K-12 School,16259.425545600001,,95.0,8695158.031984998,249.785
55,Self-Storage Facility,DOWNTOWN,6557.65398144,Self-Storage Facility,3571.0999545600002,2619.58701888,,2484227.5269224998,42.65
56,Hotel,DOWNTOWN,30863.3189184,Hotel,32388.7868352,,67.5,16788020.81966,279.59000000000003
57,Large Office,DOWNTOWN,15618.394569600001,Office,9602.64402048,6101.50005504,78.5,9891188.55506,65.355
58,Other,DOWNTOWN,5335.23578112,Other - Mall,4807.45361088,527.78217024,,653836.3760175,16.63
59,Small- and Mid-Sized Office,DOWNTOWN,5518.440576,Office,3246.6825388800003,463.86487872000004,,5070459.837235,31.33
60,Mixed Use Property,DOWNTOWN,4881.961848960001,Other - Entertainment/Public Assembly,2183.2214400000003,2183.2214400000003,,17029716.07458,583.8599999999999
62,Hotel,DOWNTOWN,9163.398447360001,Hotel,7765.858016640001,933.0252307200001,58.5,6126224.88108,68.495
63,Hotel,DOWNTOWN,92365.31720448,Hotel,92365.31720448,10931.71491072,61.5,90254875.5868,2648.825
65,Hotel,DOWNTOWN,6610.051296000001,Hotel,3840.6116736000004,1275.5587392,98.5,5480346.163229999,130.605
66,Hotel,DOWNTOWN,11409.422342400001,Hotel,8208.9126144,2457.285408,99.0,6503664.946895,218.55
67,Hotel,LAKE UNION,10514.11574592,Hotel,6561.46300608,3952.6527398400003,86.0,5585931.556495,132.76
68,Hotel,LAKE UNION,13977.54107712,Hotel,9991.443242880001,278.70912000000004,83.5,7257266.345805,195.765
69,Hotel,LAKE UNION,10804.623552000001,Hotel,8220.9900096,2629.1560320000003,82.0,6389233.930589999,166.2
70,Hotel,MAGNOLIA / QUEEN ANNE,14455.898830080001,Hotel,14455.898830080001,,81.0,7229866.965135,154.675
73,K-12 School,EAST,5209.259258880001,K-12 School,5209.259258880001,,76.5,4144706.408245,142.98000000000002
77,Hotel,MAGNOLIA / QUEEN ANNE,11421.685543680002,Hotel,7251.175175040001,4170.510368640001,94.0,5641244.92335,170.565
82,Small- and Mid-Sized Office,CENTRAL,5108.180751360001,Office,5108.180751360001,,68.0,3983968.9404224996,86.745
84,Senior Care Community,SOUTHWEST,20215.98021312,Senior Care Community,27528.37849152,0.0,52.0,50736328.77432,1792.975
85,Senior Care Community,NORTHWEST,8676.86522688,Senior Care Community,8676.86522688,,1.0,17854978.73128,605.55
86,Hotel,LAKE UNION,7813.42437312,Hotel,5887.35854784,1926.0658252800001,71.0,4132095.0122999996,70.55000000000001
87,K-12 School,SOUTHWEST,4956.56299008,K-12 School,6091.466526720001,,,,
89,Medical Office,EAST,16630.94480256,Medical Office,16630.94480256,,48.0,19194790.45727,497.30999999999995
95,Hotel,EAST,7119.25285824,Hotel,7119.25285824,,47.5,7619208.371514999,259.195
96,Mixed Use Property,EAST,9269.8653312,Medical Office,3732.2867289600003,1938.7006387200001,,16406588.14304,463.19500000000005
98,Retail Store,LAKE UNION,5418.1052928,Retail Store,6695.70789888,,95.5,1385501.4949375,39.375
100,Large Office,LAKE UNION,29385.788970240003,Office,24324.431351040002,14002.903607040002,96.0,14421873.6297,134.94
102,Hotel,LAKE UNION,26278.83260352,Hotel,21905.421995520002,4787.94397248,38.5,21269127.56984,518.015
103,Other,MAGNOLIA / QUEEN ANNE,36139.28256,Other,34188.31872,,,27807030.53256,683.96
104,Other,MAGNOLIA / QUEEN ANNE,8473.964987520001,Other,6038.6976,,,7260112.63392,233.74
106,Other,MAGNOLIA / QUEEN ANNE,36797.5005984,Other,25873.49664,,,25394188.49712,852.505
107,Large Office,LAKE UNION,53078.20094016,Office,55630.43325504001,28864.881624960002,90.0,43171516.92252,627.24
110,Other,MAGNOLIA / QUEEN ANNE,4830.95808,Other,4830.95808,,,2770011.8928874996,99.11
111,Other,MAGNOLIA / QUEEN ANNE,5638.84291584,Other,10033.528320000001,,,950041.075043125,6.28
112,Other,MAGNOLIA / QUEEN ANNE,24345.05582592,Other,27499.299840000003,,,21981478.760399997,444.62
113,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,6153.8973696,Office,4264.249536,481.33065024,,4495649.5653375,29.615000000000002
114,Large Office,MAGNOLIA / QUEEN ANNE,85526.35281792001,Office,67780.57153536001,17188.363042560002,93.0,40588576.003759995,654.06
115,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,7080.419387520001,Office,4510.07097984,1993.1418201600002,70.0,3719184.4886975,47.295
116,Hotel,MAGNOLIA / QUEEN ANNE,9003.233606400001,Hotel,5571.95272704,3431.28087936,54.0,5551865.51545,145.41
117,Hotel,NORTHEAST,4646.73135168,Hotel,4646.73135168,0.0,52.0,5932569.409375,193.76999999999998
118,K-12 School,DELRIDGE,6918.30358272,K-12 School,7001.54470656,,,1055839.6893399998,18.52
119,K-12 School,EAST,6293.530638720001,K-12 School,6293.530638720001,,38.5,2860490.2776599997,71.4
120,K-12 School,EAST,18032.85167616,K-12 School,18032.85167616,,100.0,7778406.111149999,236.605
121,Small- and Mid-Sized Office,SOUTHEAST,9237.62797632,Office,5916.15849024,3321.46948608,67.0,5075408.068634999,32.545
122,K-12 School,SOUTHEAST,5475.05485632,K-12 School,5641.537104,,,1304841.76229,15.675
125,K-12 School,GREATER DUWAMISH,12157.47762048,K-12 School,12490.44211584,,63.0,7812580.295844999,224.985
127,K-12 School,SOUTHEAST,5570.001763200001,K-12 School,5570.001763200001,,93.5,1825744.5347824998,17.79
130,K-12 School,MAGNOLIA / QUEEN ANNE,8660.23558272,K-12 School,8660.23558272,,85.0,3658244.35498,91.065
131,Other,NORTHEAST,5250.97272384,Other,4552.24896,,,6714564.84677,44.620000000000005
132,Other,NORTHEAST,19224.797679360003,Other,11069.02560384,0.0,,4753030.265395,136.41000000000003
136,Hotel,NORTHWEST,4774.2872256,Hotel,4774.2872256,0.0,87.5,3946406.03489,133.08
137,K-12 School,NORTHWEST,12171.505979520001,K-12 School,12254.747103360001,,88.0,4564661.963115,126.22
138,K-12 School,NORTHWEST,22815.77888448,K-12 School,22815.77888448,,93.5,13175496.434719998,410.40999999999997
139,Hotel,NORTHWEST,6423.13037952,Hotel,6559.79075136,,76.5,3508035.7265449995,88.71000000000001
140,K-12 School,LAKE UNION,6186.22762752,K-12 School,6186.22762752,,,1189677.21552,14.42
144,Hotel,DOWNTOWN,17742.6225792,Hotel,17742.6225792,1769.8958150400001,97.5,7090909.49654,146.31
145,Other,DOWNTOWN,26393.753664000003,Other - Entertainment/Public Assembly,17628.35184,,,15348264.314929998,383.675
147,Hospital,BALLARD,26508.30311232,Hospital (General Medical & Surgical),28118.126989440003,13830.011049600002,21.0,60445997.42156,1932.46
148,K-12 School,Ballard,5157.326459520001,K-12 School,5490.290954880001,,92.0,1809985.82891625,10.895
163,Other,DOWNTOWN,5681.5783142400005,Other,3972.0694752000004,2714.5339257600003,,10859505.7421,198.845
167,Other,DOWNTOWN,6765.199372800001,Museum,5388.37632,,,2269025.3561325,44.625
168,Hotel,MAGNOLIA / QUEEN ANNE,15070.916954880002,Hotel,10563.26145408,3037.1861836800003,75.5,8318937.61553,218.215
169,K-12 School,SOUTHEAST,26903.60554752,K-12 School,26903.60554752,,91.0,10535790.122779999,176.385
170,University,EAST,5883.5495232,College/University,6021.9750528,,,3402647.3657349995,67.34
172,University,DELRIDGE,40976.836755840006,College/University,44872.168320000004,,,43764395.2288,853.01
173,Small- and Mid-Sized Office,NORTHEAST,8946.562752,Office,8574.950592000001,459.31262976000005,,17124443.58162,223.075
174,Other,GREATER DUWAMISH,6257.577162240001,"Repair Services (Vehicle, Shoe, Locksmith, etc)",6350.758911360001,,,8324883.142394999,207.705
175,K-12 School,CENTRAL,23645.960449920003,K-12 School,23645.960449920003,,61.0,16288942.09515,362.85
176,K-12 School,SOUTHEAST,7321.1311641600005,K-12 School,7321.1311641600005,,92.0,2870486.3117474997,55.135000000000005
