ENERGYSTARScore,LargestPropertyUseType,LargestPropertyUseTypeGFA(m2),Neighborhood,OSEBuildingID,PrimaryPropertyType,PropertyGFATotal(m2),SecondLargestPropertyUseTypeGFA(m2),SiteEnergyUseWN(GJ),TotalGHGEmissions(MetricTonsCO2e)
62.5,Hotel,8215.787439360001,DOWNTOWN,1.0,Hotel,8215.787439360001,,7677908.480969999,249.70499999999998
56.0,Hotel,7792.7069952,DOWNTOWN,2.0,Hotel,9621.596240640001,1399.4913945600001,9194988.75051,279.685
30.5,Hotel,70280.49943872,DOWNTOWN,3.0,Hotel,88825.5255744,,78835868.36151999,2075.38
28.5,Hotel,5696.8144128,DOWNTOWN,5.0,Hotel,5696.8144128,,18627213.281085,1111.385
71.0,Hotel,11468.415772800001,DOWNTOWN,8.0,Hotel,16311.9157632,6318.24284736,15685970.557379998,506.355
,Police Station,8252.5770432,DOWNTOWN,9.0,Other,9038.35095552,,13518995.4841,303.21500000000003
26.0,Hotel,7557.848110080001,DOWNTOWN,10.0,Hotel,7711.69554432,,6615363.621564999,192.3
,Other - Entertainment/Public Assembly,9546.809293440001,DOWNTOWN,11.0,Other,9546.809293440001,,7621736.295275,210.75
44.5,Hotel,15234.61211136,DOWNTOWN,12.0,Hotel,15234.61211136,,14656407.66487,361.885
39.0,Hotel,12438.230607360001,DOWNTOWN,15.0,Hotel,14229.30831552,,17019626.00827,633.9449999999999
34.0,Hotel,31274.8793856,DOWNTOWN,16.0,Hotel,30953.06325504,,29035744.96808,732.185
43.5,Hotel,6039.533727360001,DOWNTOWN,17.0,Hotel,6039.533727360001,,6673746.421724999,331.55
57.0,Hotel,27453.870253440004,DOWNTOWN,18.0,Hotel,29352.901294080002,5351.215104000001,23916436.644139998,661.98
24.5,Hotel,6260.735865600001,DOWNTOWN,19.0,Hotel,8564.7312576,2341.1566080000002,11873873.66049,498.82
,Library,33901.527035520005,DOWNTOWN,21.0,Other,38276.052480000006,4552.24896,18622618.23102,174.11
,Fitness Center/Health Club/Gym,8361.2736,DOWNTOWN,22.0,Other,9653.647789440001,3716.1216000000004,11097152.7318,422.475
30.5,Hotel,32360.82302016,DOWNTOWN,23.0,Hotel,38673.770394240004,7896.758400000001,36016549.45808,779.005
,Social/Meeting Hall,1527.51178368,DOWNTOWN,24.0,Mixed Use Property,5337.46545408,1440.4616352,8403365.09932,269.26
61.0,Hotel,9694.61803008,DOWNTOWN,25.0,Hotel,9694.61803008,,9480348.19106,380.27
71.5,Courthouse,49902.867936,DOWNTOWN,26.0,Other,50201.0866944,,54020150.27132,1430.685
,Other,35793.12583296,DOWNTOWN,27.0,Other,35793.12583296,,53794743.03268,1747.435
95.5,K-12 School,5473.4755046400005,SOUTHEAST,28.0,K-12 School,5223.7521331200005,,1809251.968745,36.85
84.5,Hotel,5388.93373824,NORTHEAST,29.0,Hotel,8230.46611968,2841.5323814400003,3967911.7185175,96.045
