OSEBuildingID,BuildingType,PrimaryPropertyType,ZipCode,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal(m2),PropertyGFAParking(m2),LargestPropertyUseType,SecondLargestPropertyUseType,ENERGYSTARScore,SourceEUIWN(GJ/m2),SteamUse(GJ),Electricity(kWh),NaturalGas(GJ),SiteEnergyUseWN(GJ),TotalGHGEmissions(MetricTonsCO2e)
87.0,SPS-District K-12,K-12 School,98146.0,1948.0,1.0,2.0,4956.56299008,0.0,K-12 School,,,,,,,2648765.4523761272,31.072582429620525
757.0,NonResidential,Large Office,98121.0,1979.0,1.0,7.0,12183.58337472,8097.428966400002,Office,Retail Store,93.5,718.8709648252631,0.0,1488779.125,1073209.66965,3220857.0,-225.91314697265625
773.0,NonResidential,Small- and Mid-Sized Office,98104.0,1924.0,,4.0,5866.826975999999,0.0,,,,,,,,4048503.729869008,72.1487965828419
19694.0,SPS-District K-12,K-12 School,98122.0,1925.0,1.0,2.0,3467.791774080001,0.0,K-12 School,,,,,,,-1470829.4588114023,-34.49215360175913
21570.0,SPS-District K-12,K-12 School,98125.0,1950.0,1.0,1.0,3159.1678752000007,0.0,K-12 School,,,,,,,-1377875.2824878693,-31.056995619012014
21578.0,SPS-District K-12,K-12 School,98116.0,1949.0,1.0,1.0,3829.55621184,0.0,K-12 School,,,,,,,-1047562.6350065768,-19.200030359705124
24408.0,SPS-District K-12,K-12 School,18377.0,1953.0,1.0,1.0,10296.4439232,0.0,K-12 School,,,,,,,7873880.86328125,300.36728294566274
25361.0,SPS-District K-12,K-12 School,98115.0,1961.0,1.0,1.0,4048.52867712,0.0,K-12 School,,,,,,,-1064514.3909733891,-17.219576086086818
25451.0,NonResidential,Restaurant,98109.0,1978.0,1.0,2.0,2463.69571776,0.0,Restaurant,Office,,,,,,3823495.520050168,114.16426685156694
26532.0,NonResidential,Mixed Use Property,98105.0,1928.0,,2.0,1928.6671104,0.0,,,,,,,,12035720.831650987,430.4437799100324
