BuildingType,ENERGYSTARScore,GHGEmissions(MetricTonsCO2e),LargestPropertyUseType,NumberofBuildings,NumberofFloors,OSEBuildingID,PrimaryPropertyType,PropertyGFAParking(m2),PropertyGFATotal(m2),SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA(m2),SiteEnergyUseWN(GJ),YearBuilt,ZipCode
NonResidential,62.5,5.520280221114084,Hotel,1.0,12.0,1.0,Hotel,,9.01381287972552,,,8.946102455845265,1927.0,98101.0
NonResidential,56.0,5.63366396988174,Hotel,1.0,11.0,2.0,Hotel,7.243864159997697,9.171765459275452,Parking,7.243864159997697,9.12641391360211,1996.0,98101.0
NonResidential,28.5,7.01336226426383,Hotel,1.0,10.0,5.0,Hotel,,8.647662422646459,,,9.832378870071333,1926.0,98101.0
NonResidential,71.0,6.2272380043222135,Hotel,1.0,18.0,8.0,Hotel,8.658690753687937,9.699651148140909,Parking,8.751196418002252,9.660521996770978,1980.0,98121.0
Nonresidential COS,,5.7144421248400175,Police Station,1.0,2.0,9.0,Other,8.14781136503578,9.109232020321544,,,9.51185104832337,1999.0,98101.0
NonResidential,26.0,5.259056652594734,Hotel,1.0,11.0,10.0,Hotel,,8.950493357336825,,,8.797150044284711,1926.0,98101.0
NonResidential,,5.350672596881965,Other - Entertainment/Public Assembly,1.0,8.0,11.0,Other,,9.16396227225018,,,8.938759482996792,1926.0,98101.0
NonResidential,44.5,5.89132648179692,Hotel,1.0,15.0,12.0,Hotel,,9.631325230732052,,,9.59263290208861,1904.0,98104.0
NonResidential,39.0,6.451962199885515,Hotel,1.0,11.0,15.0,Hotel,7.4905727892601774,9.563059082419734,,,9.742122428223778,1969.0,98101.0
NonResidential,34.0,6.596033214270336,Hotel,1.0,25.0,16.0,Hotel,8.645066100125957,10.340227247529809,,,10.276282935065428,1998.0,98101.0
NonResidential,43.5,5.803778627814877,Hotel,1.0,9.0,17.0,Hotel,,8.70608209049203,,,8.805936663642685,1928.0,98104.0
NonResidential,57.0,6.49523534400027,Hotel,1.0,33.0,18.0,Hotel,8.585078936344692,10.2871466719578,Parking,8.585078936344692,10.082321227240888,1980.0,98101.0
NonResidential,24.5,6.212245309233003,Hotel,1.0,11.0,19.0,Hotel,7.758400363160223,9.055408033453348,Parking,7.758400363160223,9.382095774761384,1922.0,98101.0
Nonresidential COS,,5.159687283378507,Library,1.0,11.0,21.0,Other,8.574607636477396,10.552579717992371,Parking,8.423376666753471,9.832132154856698,2004.0,98154.0
NonResidential,,6.046130273448887,Fitness Center/Health Club/Gym,1.0,6.0,22.0,Other,,9.175091132173922,Office,8.220435822756782,9.314443843747293,1930.0,98104.0
NonResidential,30.5,6.658017464335387,Hotel,1.0,28.0,23.0,Hotel,8.974207625133161,10.562916881638888,Parking,8.974207625133161,10.491733818974168,1983.0,98104.0
NonResidential,,5.595677455551089,Social/Meeting Hall,1.0,5.0,24.0,Mixed Use Property,,8.582506185212422,Restaurant,7.272718921195258,9.036387511671725,1907.0,98104.0
NonResidential,61.0,5.9408815267319035,Hotel,1.0,10.0,25.0,Hotel,,9.179326168249753,,,9.156976323589342,1916.0,98104.0
NonResidential,71.5,7.265908629539051,Courthouse,1.0,10.0,26.0,Other,,10.823791952744326,,,10.897112409114674,1916.0,98104.0
NonResidential,,7.4659042774219,Other,1.0,19.0,27.0,Other,,10.485511138112285,,,10.892931028228423,1985.0,98104.0
SPS-District K-12,95.5,3.6068556186353455,K-12 School,1.0,2.0,28.0,K-12 School,,8.560971222112364,,,7.500668761900958,1961.0,98118.0
NonResidential,84.5,4.5648168316388755,Hotel,1.0,6.0,29.0,Hotel,7.952098756568777,9.015597928723457,Parking,7.952098756568777,8.28599521979978,2001.0,98105.0
NonResidential,,5.853121597486237,College/University,1.0,7.0,30.0,University,,9.372533584565165,,,9.427086897856883,1928.0,98121.0
NonResidential,,2.2412414627529937,Automobile Dealership,1.0,2.0,31.0,Other,,8.739586695268763,,,7.261069887369497,1930.0,98101.0
NonResidential,,5.53338948872752,Hotel,1.0,8.0,32.0,Hotel,7.942737083913902,9.598420756005531,Parking,8.269225986926214,8.652066714223729,1991.0,98101.0
NonResidential,38.5,5.78129891708403,Hotel,1.0,10.0,33.0,Hotel,8.176510058188377,9.678271472056295,,,9.375025927057859,2001.0,98101.0
SPS-District K-12,,4.8061090273141085,K-12 School,1.0,1.0,34.0,K-12 School,,9.37062011696888,,,8.36399713707371,1955.0,98112.0
NonResidential,58.5,4.8442264557623504,Hotel,1.0,5.0,35.0,Hotel,7.316567610881184,8.757075381415753,,,8.4542210568065,1978.0,98121.0
SPS-District K-12,77.5,5.580767023759654,K-12 School,1.0,2.0,36.0,K-12 School,,9.61075333015983,,,9.050920980024527,1949.0,98125.0
SPS-District K-12,,2.336986519711378,K-12 School,1.0,2.0,37.0,K-12 School,,8.474729143063207,,,6.7884989996562854,1989.0,98109.0
NonResidential,,5.034221603902397,Office,1.0,3.0,38.0,Small- and Mid-Sized Office,,9.000471456084817,K-12 School,7.43039220495114,8.484570520616103,1906.0,98070.0
NonResidential,24.5,5.434529537672788,Hotel,1.0,4.0,40.0,Hotel,,8.936701206442986,,,8.936041709014248,1994.0,98105.0
NonResidential,,1.340250422618484,Self-Storage Facility,1.0,2.0,41.0,Self-Storage Facility,,9.235267872318754,,,5.831465252874273,1955.0,98105.0
NonResidential,,5.776692110043519,Non-Refrigerated Warehouse,3.0,2.0,46.0,Warehouse,,11.102572375352924,Refrigerated Warehouse,10.151957234359996,10.772710279028926,1961.0,98118.0
SPS-District K-12,94.0,3.405355391810819,K-12 School,1.0,2.0,50.0,K-12 School,,8.538634976018578,,,7.561609665258169,1990.0,98199.0
SPS-District K-12,88.0,5.5697176064255345,K-12 School,1.0,2.0,51.0,K-12 School,,9.699565713348962,,,9.018530028589817,1950.0,98115.0
NonResidential,57.0,4.842768758271886,Office,1.0,2.0,52.0,Small- and Mid-Sized Office,,9.084380074258728,Non-Refrigerated Warehouse,8.203137058178452,8.844010916516979,1961.0,98107.0
NonResidential,88.0,4.2544063086500135,Office,1.0,2.0,53.0,Small- and Mid-Sized Office,,8.493397581051852,Other - Education,6.591942503787522,7.943945208026208,1900.0,98144.0
NonResidential,95.0,5.520600547850091,K-12 School,1.0,3.0,54.0,K-12 School,,9.696428053178813,,,9.070521601664623,1954.0,98103.0
NonResidential,,3.753027273937688,Self-Storage Facility,1.0,3.0,55.0,Self-Storage Facility,,8.788388193194654,Vocational School,7.8707719579491195,7.817717035848355,1911.0,98121.0
NonResidential,67.5,5.633324244340946,Hotel,1.0,24.0,56.0,Hotel,9.859286895759231,10.337323667716957,,,9.728420864604011,1969.0,98101.0
NonResidential,78.5,4.1798339482375155,Office,1.0,5.0,57.0,Large Office,,9.656204637676067,Retail Store,8.716289930592627,9.199399594854064,1973.0,98101.0
