OSEBuildingID,ZipCode,YearBuilt,BuildingType,NumberofBuildings,NumberofFloors,PrimaryPropertyType,LargestPropertyUseType,SecondLargestPropertyUseType,PropertyGFATotal(m2),PropertyGFAParking(m2),SecondLargestPropertyUseTypeGFA(m2),ENERGYSTARScore,SiteEnergyUseWN(GJ),TotalGHGEmissions(MetricTonsCO2e)
87.0,98146.0,1948.0,SPS-District K-12,1.0,2.0,K-12 School,K-12 School,,8.508467833972851,,,,2511.6022683320707,52.51897673121908
757.0,98121.0,1979.0,NonResidential,1.0,7.0,Large Office,Office,Retail Store,9.407844699532045,8.999301878719265,6.915997908106723,93.5,4845.303974470534,48.825458934603546
773.0,98104.0,1924.0,NonResidential,,4.0,Small- and Mid-Sized Office,,,8.677069217439346,,,,3444.272087138854,40.0202563556566
19694.0,98122.0,1925.0,SPS-District K-12,1.0,2.0,K-12 School,K-12 School,,8.15127329402171,,,,1730.2420652830122,36.1690719484706
20130.0,98115.0,1910.0,NonResidential,1.0,2.0,Worship Facility,Worship Facility,,7.7067310582399475,,,89.5,634.3235533727054,15.622907631636394
20324.0,98115.0,2000.0,NonResidential,1.0,2.0,Worship Facility,Worship Facility,,7.977918302259375,,,55.0,1287.1294570584726,30.947365426302873
21570.0,98125.0,1950.0,SPS-District K-12,1.0,1.0,K-12 School,K-12 School,,8.058063941270447,,,,1569.9070120065646,32.814759760291786
21578.0,98116.0,1949.0,SPS-District K-12,1.0,1.0,K-12 School,K-12 School,,8.250504203878815,,,,1918.969873188872,40.11770948531292
24408.0,98103.0,1953.0,SPS-District K-12,1.0,1.0,K-12 School,K-12 School,,9.239553864430409,,,,5385.229498383561,112.67970222115832
25361.0,98115.0,1961.0,SPS-District K-12,1.0,1.0,K-12 School,K-12 School,,8.306108804494931,,,,2033.5856540254385,42.515906210656865
25451.0,98109.0,1978.0,NonResidential,1.0,2.0,Restaurant,Restaurant,Office,7.809417825858919,,7.090874515944656,,4080.638824893009,105.61138713674886
26532.0,98105.0,1928.0,NonResidential,,2.0,Mixed Use Property,,,7.5645844269405345,,,,1196.0691946729792,16.393472756959213
49968.0,98195.0,1969.0,NonResidential,1.0,4.0,University,College/University,,8.605341016899585,,,,3712.823267242123,64.99081979510119
49972.0,98195.0,1998.0,NonResidential,1.0,6.0,University,College/University,,9.844910120016996,,,,13531.629642552727,237.11877818873683
