OSEBuildingID,ZipCode,YearBuilt,BuildingType,NumberofBuildings,NumberofFloors,PrimaryPropertyType,LargestPropertyUseType,SecondLargestPropertyUseType,PropertyGFATotal(m2),PropertyGFAParking(m2),SecondLargestPropertyUseTypeGFA(m2),ENERGYSTARScore,SiteEnergyUseWN(GJ),TotalGHGEmissions(MetricTonsCO2e)
87.0,98146.0,1948.0,SPS-District K-12,1.0,2.0,K-12 School,K-12 School,,8.508467833972851,,,,1878.9628381229973,34.40639375044716
757.0,98121.0,1979.0,NonResidential,1.0,7.0,Large Office,Office,Retail Store,9.407844699532045,8.999301878719265,6.915997908106723,93.5,5603.13266115017,52.21044960602881
773.0,98104.0,1924.0,NonResidential,,4.0,Small- and Mid-Sized Office,,,8.677069217439346,,,,3180.5905625915398,35.16436030661245
19694.0,98122.0,1925.0,SPS-District K-12,1.0,2.0,K-12 School,K-12 School,,8.15127329402171,,,,2164.238588432897,53.108215389147695
20130.0,98115.0,1910.0,NonResidential,1.0,2.0,Worship Facility,Worship Facility,,7.7067310582399475,,,89.5,802.9393005397836,16.199426777605364
20324.0,98115.0,2000.0,NonResidential,1.0,2.0,Worship Facility,Worship Facility,,7.977918302259375,,,55.0,2112.931400094444,48.44181018354364
21570.0,98125.0,1950.0,SPS-District K-12,1.0,1.0,K-12 School,K-12 School,,8.058063941270447,,,,1918.3269911066945,46.40980559809068
21578.0,98116.0,1949.0,SPS-District K-12,1.0,1.0,K-12 School,K-12 School,,8.250504203878815,,,,1891.5806940165146,45.96252900561953
24408.0,98103.0,1953.0,SPS-District K-12,1.0,1.0,K-12 School,K-12 School,,9.239553864430409,,,,6519.49859928734,188.89100437259827
25361.0,98115.0,1961.0,SPS-District K-12,1.0,1.0,K-12 School,K-12 School,,8.306108804494931,,,,1893.2583286482022,43.97130995080314
25451.0,98109.0,1978.0,NonResidential,1.0,2.0,Restaurant,Restaurant,Office,7.809417825858919,,7.090874515944656,,2797.899506541249,58.55697366872375
26532.0,98105.0,1928.0,NonResidential,,2.0,Mixed Use Property,,,7.5645844269405345,,,,942.0399103259958,13.725860254915819
49968.0,98195.0,1969.0,NonResidential,1.0,4.0,University,College/University,,8.605341016899585,,,,2824.8395934247146,54.19722713954214
49972.0,98195.0,1998.0,NonResidential,1.0,6.0,University,College/University,,9.844910120016996,,,,11045.788858129707,230.8724923718025
